#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: staticAssets2.png (120 x 496)
# $TexturePacker:SmartUpdate:2dd41066957319be71b92d4ccf2d905d:bbd9a4f87d512e9dc2ae9a75e1131011:eebd0596e21c521bb867813042d4018e$
#

bush1;0;0;0;32;28;32;28;0.5;0.5
bush2;0;32;0;32;28;32;28;0.5;0.5
chest1;0;64;0;19;18;19;18;0.5;0.5
dirt;0;83;0;16;16;16;16;0.5;0.5
dirt_1;0;99;0;16;8;16;8;0.5;0.5
dirt_2;0;0;28;7;16;7;16;0.5;0.5
dirt_3;0;7;28;16;5;16;5;0.5;0.5
dirt_4;0;23;28;7;16;7;16;0.5;0.5
dirt_5;0;30;28;6;5;6;5;0.5;0.5
dirt_6;0;36;28;5;5;5;5;0.5;0.5
dirt_7;0;41;28;6;5;6;5;0.5;0.5
dirt_8;0;47;28;5;5;5;5;0.5;0.5
dirt_9;0;52;28;16;16;16;16;0.5;0.5
dirt_10;0;68;28;16;16;16;16;0.5;0.5
dirt_11;0;84;28;16;16;16;16;0.5;0.5
dirt_12;0;100;28;16;16;16;16;0.5;0.5
flowers1;0;0;44;15;14;15;14;0.5;0.5
flowers2;0;15;44;8;15;8;15;0.5;0.5
flowers3;0;23;44;9;12;9;12;0.5;0.5
grass1;0;32;44;16;16;16;16;0.5;0.5
grass2;0;48;44;16;16;16;16;0.5;0.5
grass2_1;0;64;44;16;10;16;10;0.5;0.5
grass2_2;0;80;44;11;16;11;16;0.5;0.5
grass2_3;0;91;44;16;10;16;10;0.5;0.5
grass2_4;0;107;44;9;16;9;16;0.5;0.5
grass2_5;0;0;60;9;10;9;10;0.5;0.5
grass2_6;0;9;60;9;10;9;10;0.5;0.5
grass2_7;0;18;60;9;10;9;10;0.5;0.5
grass2_8;0;27;60;10;9;10;9;0.5;0.5
grass2_9;0;37;60;16;16;16;16;0.5;0.5
grass2_10;0;53;60;16;16;16;16;0.5;0.5
grass2_11;0;69;60;16;16;16;16;0.5;0.5
grass2_12;0;85;60;16;16;16;16;0.5;0.5
rock1;0;101;60;19;15;19;15;0.5;0.5
rock2;0;0;76;19;15;19;15;0.5;0.5
rock3;0;19;76;15;9;15;9;0.5;0.5
rock4;0;34;76;15;9;15;9;0.5;0.5
rock5;0;49;76;17;12;17;12;0.5;0.5
rock6;0;66;76;17;12;17;12;0.5;0.5
tallGrass1;0;83;76;18;18;18;18;0.5;0.5
tallGrass2;0;101;76;18;17;18;17;0.5;0.5
tallGrass3;0;0;94;18;18;18;18;0.5;0.5
tallGrass4;0;18;94;18;17;18;17;0.5;0.5
treeStump1;0;36;94;29;23;29;23;0.5;0.5
treeStump2;0;65;94;29;23;29;23;0.5;0.5
treeTop1;0;0;117;96;60;96;60;0.5;0.5
treeTop2;0;0;177;96;60;96;60;0.5;0.5
treeTop3;0;0;237;98;57;98;57;0.5;0.5
treeTop4;0;0;294;98;57;98;57;0.5;0.5
treeTrunk1;0;0;351;51;68;51;68;0.5;0.5
treeTrunk2;0;51;351;51;68;51;68;0.5;0.5
treeTrunk3;0;0;419;53;77;53;77;0.5;0.5
treeTrunk4;0;53;419;53;77;53;77;0.5;0.5
